Judge #1,,,,,Judge #2,,,,,Both,,,Agreed,,,,Final + LLM,,"Conflict with gpt-4o, 5 runs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pair,L,R,Label L,Label R,Pair,L,R,Label L,Label R,P,L,R,P,L,R,Final,,Notes,,1,2,3,4,5,,U4o,2,3,4,5,,,F4oM,2,3,4,5,,U4M,2,3,4,5,,A File,B File,A id,B id,
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_131818#8#29.java,2_1293420#116#163.java,9217,18575609,2
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_94284#8#29.java,2_1850177#196#215.java,76427,7797614,2
F,F,F,test,minor,F,F,F,test,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_64550#32#75.java,2_454917#543#565.java,151947,11188585,2
F,T,F,major,minor,F,T,F,major,minor,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_51635#26#41.java,2_560818#143#245.java,156369,19340788,2
F,F,F,wrong,wrong,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_73348#8#31.java,2_509358#28#72.java,196392,6992204,2
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_48815#42#69.java,2_911385#88#100.java,2887981,3609806,2
F,F,F,test,wrong,T,F,T,test,major,#,F,#,F,,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_2186639#148#170.java,2_614288#101#139.java,3493863,7802218,2
F,T,F,major,minor,F,T,F,major,wrong,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_911385#88#100.java,2_162942#34#41.java,3609806,10642765,2
F,F,F,wrong,wrong,F,F,T,wrong,major,F,F,#,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_1036591#15#29.java,2_1937566#191#202.java,6993344,7633336,2
F,F,F,wrong,wrong,T,T,T,major,major,#,#,#,F,T,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_1834805#66#89.java,2_1141298#34#60.java,7005222,15660054,2
F,F,F,wrong,incomplete,T,F,T,minor,major,#,F,#,F,,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_1099926#303#325.java,2_1688089#191#200.java,8023601,16899717,2
F,F,F,wrong,wrong,F,T,F,major,minor,F,#,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_18267#170#244.java,2_2286599#89#138.java,13207437,22560734,2
F,F,F,wrong,wrong,F,F,F,minor,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_755330#71#180.java,2_1348519#151#203.java,14038399,21808207,2
F,F,F,wrong,wrong,F,T,F,major,minor,F,#,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_1488622#120#145.java,2_651805#65#86.java,14914613,20900753,2
