Truth,fileA,fileB,lang
F,2_131818#8#29.java,2_1293420#116#163.java,Java
F,2_94284#8#29.java,2_1850177#196#215.java,Java
F,2_64550#32#75.java,2_454917#543#565.java,Java
F,2_51635#26#41.java,2_560818#143#245.java,Java
F,2_73348#8#31.java,2_509358#28#72.java,Java
F,2_48815#42#69.java,2_911385#88#100.java,Java
F,2_2186639#148#170.java,2_614288#101#139.java,Java
F,2_911385#88#100.java,2_162942#34#41.java,Java
F,2_1036591#15#29.java,2_1937566#191#202.java,Java
F,2_1834805#66#89.java,2_1141298#34#60.java,Java
F,2_1099926#303#325.java,2_1688089#191#200.java,Java
F,2_18267#170#244.java,2_2286599#89#138.java,Java
F,2_755330#71#180.java,2_1348519#151#203.java,Java
F,2_1488622#120#145.java,2_651805#65#86.java,Java
F,2_1870997#26#170.java,2_47927#161#258.java,Java
F,2_7062#36#73.java,2_2418344#20#59.java,Java
F,2_572967#98#136.java,2_1643478#31#40.java,Java
F,2_1404320#163#197.java,2_1078366#51#97.java,Java
F,3_84168#66#160.java,3_1920325#23#29.java,Java
F,3_89653#82#211.java,3_123010#32#57.java,Java
F,3_2558813#16#24.java,3_1121284#7#21.java,Java
F,3_1031460#66#80.java,3_2409201#35#49.java,Java
T,3_1662037#227#250.java,3_1294574#32#43.java,Java
F,3_1503636#212#218.java,3_2210331#88#103.java,Java
T,3_916843#13#32.java,3_2704286#68#84.java,Java
F,3_2646810#40#49.java,3_459795#243#256.java,Java
F,3_411410#146#177.java,3_2300213#157#191.java,Java
F,3_2001558#109#126.java,3_2449914#192#215.java,Java
T,3_400521#33#41.java,3_648694#13#29.java,Java
F,3_2083509#187#218.java,3_828599#20#28.java,Java
T,3_1825954#16#33.java,3_562392#98#111.java,Java
F,3_2347243#240#256.java,3_893450#93#111.java,Java
T,3_2626054#15#30.java,3_878659#45#52.java,Java
F,3_999978#13#29.java,3_450481#67#110.java,Java
T,3_336710#58#72.java,3_2104219#48#60.java,Java
F,3_2310574#272#282.java,3_1886889#235#256.java,Java
F,3_600054#169#185.java,3_1782966#41#49.java,Java
T,3_1775595#13#29.java,3_2364224#387#394.java,Java
F,3_164132#156#172.java,3_1422739#16#32.java,Java
F,3_1404058#41#45.java,3_2681007#21#33.java,Java
F,3_2735223#218#235.java,3_2260020#348#355.java,Java
F,3_974503#142#147.java,3_2713526#41#75.java,Java
F,3_2620332#376#383.java,3_1394192#49#65.java,Java
F,3_1900264#123#137.java,3_1518242#204#226.java,Java
T,3_2073774#16#37.java,3_294407#131#140.java,Java
F,3_541481#305#318.java,3_736221#112#121.java,Java
F,3_629366#340#360.java,3_107453#52#58.java,Java
F,3_892708#143#179.java,3_745221#80#98.java,Java
F,3_2339976#15#27.java,3_1157126#17#23.java,Java
F,3_1209005#63#84.java,3_782936#97#107.java,Java
F,3_705884#38#72.java,3_829893#55#65.java,Java
T,3_1851422#27#34.java,3_756631#30#40.java,Java
F,3_1702867#47#58.java,3_1411934#30#54.java,Java
F,3_74895#134#143.java,3_1418610#464#476.java,Java
F,3_1492548#1354#1371.java,3_1268519#112#185.java,Java
F,4_6930#27#46.java,4_1117280#39#41.java,Java
F,4_51251#41#83.java,4_207366#52#77.java,Java
F,4_41605#90#172.java,4_2553462#41#84.java,Java
F,4_34342#27#46.java,4_2599719#874#900.java,Java
F,4_6756#90#172.java,4_2061440#90#151.java,Java
F,4_27443#367#414.java,4_1761827#86#102.java,Java
F,4_111151#27#46.java,4_1760061#8#24.java,Java
F,4_50141#90#172.java,4_2639183#198#327.java,Java
F,4_84530#90#172.java,4_406256#959#985.java,Java
F,4_56686#90#172.java,4_2045423#55#68.java,Java
F,4_64536#90#172.java,4_295232#48#52.java,Java
F,4_126904#872#898.java,4_2028451#304#311.java,Java
F,4_78884#30#48.java,4_1493909#493#504.java,Java
F,4_48067#27#46.java,4_1591824#251#301.java,Java
F,4_48067#27#46.java,4_327063#157#168.java,Java
F,4_103511#27#46.java,4_188666#112#141.java,Java
F,4_114479#90#172.java,4_889549#75#86.java,Java
T,4_34119#1081#1089.java,4_2187820#20#28.java,Java
F,4_82382#27#46.java,4_108342#100#117.java,Java
F,4_19968#367#414.java,4_1049350#40#56.java,Java
F,4_77069#872#898.java,4_118790#27#46.java,Java
F,4_117641#90#172.java,4_2407741#109#170.java,Java
F,4_117641#90#172.java,4_1627411#45#83.java,Java
F,4_87946#90#172.java,4_396851#203#227.java,Java
F,4_52898#7#19.java,4_2090289#45#128.java,Java
F,4_102678#27#46.java,4_1054088#28#72.java,Java
F,4_22724#27#46.java,4_2518721#75#92.java,Java
F,4_22724#27#46.java,4_1590185#168#192.java,Java
F,4_18373#564#591.java,4_344599#72#81.java,Java
F,4_18373#564#591.java,4_518912#124#158.java,Java
F,4_37863#167#247.java,4_474742#156#287.java,Java
F,4_21679#90#172.java,4_1371986#196#204.java,Java
F,4_21679#90#172.java,4_215042#58#70.java,Java
F,4_132716#27#46.java,4_1791239#31#81.java,Java
F,4_127472#60#107.java,4_1230451#283#294.java,Java
F,4_118790#27#46.java,4_1959984#38#55.java,Java
F,4_118790#27#46.java,4_2301433#1006#1028.java,Java
F,4_134632#90#172.java,4_1495157#230#237.java,Java
F,4_89548#90#172.java,4_1774039#27#30.java,Java
F,4_85394#836#862.java,4_1828730#84#113.java,Java
F,4_85394#872#898.java,4_919349#629#659.java,Java
F,4_82481#27#46.java,4_1521653#213#273.java,Java
F,4_55710#367#414.java,4_882365#57#86.java,Java
F,4_100020#296#315.java,4_2248635#204#209.java,Java
F,4_52379#90#172.java,4_1793093#151#170.java,Java
F,4_22134#90#172.java,4_2720699#28#44.java,Java
F,4_566527#182#187.java,4_2197076#224#238.java,Java
F,4_1720009#19#52.java,4_600920#186#224.java,Java
F,4_2152346#38#71.java,4_1395350#24#50.java,Java
F,4_2309025#43#71.java,4_1831582#207#224.java,Java
F,4_2309025#43#71.java,4_1091654#63#69.java,Java
F,4_2484283#80#91.java,4_971518#20#29.java,Java
F,4_27526#62#81.java,4_1535796#130#149.java,Java
F,4_2617581#177#236.java,4_1008617#78#121.java,Java
