dataset,source_dataset,model,pairs,positive_pairs,negative_pairs,auc,mcc_threshold_lower,mcc_threshold_upper,mcc_optimal,f1_threshold_lower,f1_threshold_upper,f1_optimal,fixed_threshold,mcc_fixed,f1_fixed,source_scores
BigCloneBench (balanced),bcb-full-balanced,C2LLM-7B,558064,279032,279032,0.7755593629236885,0.13,0.13,0.41997042550459457,0.1,0.1,0.7407662852408357,0.5,0.2114508151635866,0.22098117748820068,bcb-full-balanced/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
BigCloneBench (balanced),bcb-full-balanced,jina-code-embeddings-1.5b,558064,279032,279032,0.7490836366699036,0.19,0.19,0.38014693739481636,0.17,0.17,0.7284823492585086,0.5,0.2280336015441043,0.28693125320938073,bcb-full-balanced/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
BigCloneBench (balanced),bcb-full-balanced,Linq-Embed-Mistral,558064,279032,279032,0.8138410192429077,0.47,0.47,0.5101591515430336,0.46,0.46,0.7776884115603342,0.5,0.4870355613625692,0.7581356031502917,bcb-full-balanced/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
BigCloneBench (balanced),bcb-full-balanced,Octen-Embedding-8B,558064,279032,279032,0.7396728231092302,0.22,0.22,0.36450903178612665,0.2,0.2,0.724861006246139,0.5,0.23545609917237434,0.30214890002024775,bcb-full-balanced/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
BigCloneBench (balanced),bcb-full-balanced,Qodo-Embed-1-7B,558064,279032,279032,0.7262072205358863,0.5,0.5,0.32669798849680354,0.46,0.46,0.7020921966486986,0.5,0.32669798849680354,0.6879182346170464,bcb-full-balanced/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
BigCloneBench (balanced),bcb-full-balanced,Qwen3-Embedding-8B,558064,279032,279032,0.7371220878802405,0.31,0.31,0.3600358384798284,0.28,0.28,0.7219746831840272,0.5,0.2429640652313484,0.37421925244443477,bcb-full-balanced/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
BigCloneBench (balanced),bcb-full-balanced,SFR-Embedding-2_R,558064,279032,279032,0.80342778990729,0.6,0.6,0.4806563795150869,0.59,0.59,0.7660076860987628,0.5,0.18651648870828952,0.6821120360120122,bcb-full-balanced/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
BigCloneBench (full),bcb-full,jina-code-embeddings-1.5b,8863185,8584153,279032,0.7494109585564759,0.14,0.14,0.19228998009915582,0.0,0.0,0.9839105699068583,0.5,0.06509430543090913,0.29630579024158776,bcb-full/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
TBCCD,TBCCD-alldata-balanced,C2LLM-7B,672996,336498,336498,0.7700374376762005,0.15,0.15,0.4055574910527021,0.11,0.11,0.7295349877494587,0.5,0.20711865128952966,0.18508253297305974,TBCCD-alldata-balanced/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
TBCCD,TBCCD-alldata-balanced,jina-code-embeddings-1.5b,672996,336498,336498,0.7941695803720097,0.24,0.24,0.4420325866017814,0.19,0.19,0.7343532283580056,0.5,0.2730980515958478,0.2747928633152036,TBCCD-alldata-balanced/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
