Pair,Label L,Label R,Pair (J1),Label L (J1),Label R (J1),Notes (J1),Pair (J2),Label L (J2),Label R (J2),Notes (J2),Snippet L,Snippet R,,,,,,,,,,,,,,
xx,T,T,T,T,T,,F,T,T,"A only specifies destination, B needs two locations.",1357662,11403723,4,tagged-tagged,3,0.166666667,0.495867769,10,12,10,12,1,1,85,121,FALSE
T,T,T,T,T,T,,T,T,T,,2602105,19240485,4,tagged-tagged,3,0.090909091,0.563218391,10,10,10,11,1,1,67,87,FALSE
F,T,F,F,T,F,B: Copy to tar archive,F,T,F,B compresses a file.,1863214,2642914,4,tagged-tagged,3,0.181818182,0.435582822,10,22,10,22,1,1,81,163,FALSE
F,F,F,F,F,F,"A: Updater, B: encode",F,F,F,"A updates image, B encodes file.",13299924,18731109,4,tagged-tagged,3,0.243243243,0.474452555,27,37,27,37,1,1,193,274,FALSE
F,F,T,F,F,T,"A: encode, not just copy",F,F,T,,6244936,23071780,4,tagged-tagged,3,0.222222222,0.388601036,13,27,14,27,1,1,83,193,FALSE
F,F,T,F,F,T,A: is a test,F,F,T,A is a test,3024984,8407905,4,tagged-tagged,3,0.166666667,0.475524476,11,16,11,18,1,1,102,143,FALSE
F,F,F,F,F,F,"A: Storage, B: encode",F,F,F,,1244216,18042543,4,tagged-tagged,3,0.066666667,0.188976378,7,29,7,30,1,1,50,254,FALSE
F,F,xx,F,F,T,A: Customer data,F,F,F,,7872660,19360483,4,tagged-tagged,3,0.14516129,0.242063492,23,59,23,62,1,1,138,504,FALSE
F,T,xx,F,T,T,B: too specific,F,T,F,B loads jar file.,20310134,23192841,4,tagged-tagged,3,0.142857143,0.4375,9,12,9,14,1,1,59,96,FALSE
F,F,T,F,F,T,A: Conversion,F,F,T,,480017,8296360,4,tagged-tagged,3,0.084337349,0.227513228,25,83,28,83,1,1,232,756,FALSE
F,F,F,F,F,F,"A: rewrite, B: compress",F,F,F,"A rewrites file, B compresses file.",811157,2691849,4,tagged-tagged,3,0.181818182,0.563218391,18,20,20,22,1,1,202,261,FALSE
F,xx,T,F,T,T,A: additional function,F,F,T,,6424937,12980227,4,tagged-tagged,3,0.133333333,0.549450549,11,15,11,15,1,1,74,91,FALSE
F,F,T,F,F,T,A: upload,F,F,T,,8856524,10089329,4,tagged-tagged,3,0.052631579,0.166666667,9,57,11,57,1,1,85,450,FALSE
F,T,F,F,T,F,B: Test,F,T,F,B is test,12306296,20681845,4,tagged-tagged,3,0.139534884,0.54723127,36,43,36,43,1,1,235,307,FALSE
F,F,F,F,F,F,"A: encode, B: ?",F,F,F,,8793825,19962044,4,tagged-tagged,3,0.037037037,0.088082902,3,27,5,27,1,1,20,193,FALSE
F,F,T,F,F,T,A: download,F,F,T,,15999201,18098898,4,tagged-tagged,3,0.35,0.309352518,8,20,8,20,1,1,45,139,FALSE
F,F,xx,F,F,F,"A: rewrite, B: rewrite",F,F,T,,288978,12465375,4,tagged-tagged,3,0.032786885,0.427983539,20,51,20,61,1,1,261,486,FALSE
F,F,F,F,F,F,"A: conversion, B: conversion",F,F,F,"A converts file, B extracts file.",137600,12838274,4,tagged-tagged,3,0.111888112,0.351924588,83,130,83,143,1,1,756,1273,FALSE
F,F,T,F,F,T,A: archive,F,F,T,,6464850,22271237,4,tagged-tagged,3,0.333333333,0.413654618,19,35,19,36,1,1,115,249,FALSE
F,xx,xx,F,F,F,"A: conversion, B: conversion",F,T,T,,44949,8778962,4,tagged-tagged,3,0.148148148,0.482758621,20,27,20,27,1,1,193,261,FALSE
F,xx,F,F,F,F,"A; conversion, B: backup",F,T,F,B copies a folder.,850680,17597670,4,tagged-tagged,3,0.060606061,0.442265795,20,61,20,66,1,1,261,459,FALSE
F,F,T,F,F,T,A: conversion,F,F,T,,250596,10797051,4,tagged-tagged,3,0.111111111,0.383419689,8,27,9,27,1,1,91,193,FALSE
F,F,F,F,F,F,"A: encode, B: ?",F,F,F,A writes output to a file.,8709510,15767021,4,tagged-tagged,3,0.040540541,0.064770932,6,66,6,74,1,1,44,633,FALSE
F,F,F,F,F,F,"A: test, B: parse",F,F,F,A writes and reads the same file.,694747,7149578,4,tagged-tagged,3,0.121019108,0.307816277,81,132,87,157,1,1,664,1248,FALSE
