Paper,A,B,C,D,E,F,G,H,I,J,K,L
1,No,Yes,Yes,No,New,Yes,?,No,No,No,No,Yes
3,No,Yes,Yes,No,Old,Yes,No,No,No,No,No,Yes
5,No,Yes,Yes,No,New,Yes,No,No,No,No,No,Yes
6,No,Yes,Yes,No,New,Yes,?,No,No,No,No,Yes
8,No,Yes,Yes,Yes,New,Yes,?,No,Yes,No,No,Yes
9,No,Yes,Yes,No,Old,Yes,No,No,Yes,No,No,Yes
10,No,Yes,Yes,No,New,No,?,No,No,No,Yes,Yes
11,No,Yes,Yes,Yes,Old,Yes,No,No,Yes,No,No,Yes
12,No,Yes,Yes,No,New,Yes,No,No,Yes,No,No,Yes
13,No,Yes,Yes,No,?,?,?,?,?,?,No,Yes
14,No,Yes,Yes,No,?,No,?,No,No,No,No,Yes
15,No,Yes,Yes,Yes,?,Yes,No,No,Yes,No,No,Yes
17,No,Yes,Yes,No,?,Yes,Yes,No,Yes,No,No,Yes
18,No,Yes,Yes,Yes,?,Yes,No,No,No,Yes,No,Yes
19,No,Yes,Yes,Yes,Old,Yes,?,No,Yes,No,No,Yes
21,No,Yes,Yes,No,New,Yes,No,No,Yes,Yes,No,Yes
22,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
23,No,Yes,Yes,No,?,?,?,No,No,No,No,Yes
24,No,Yes,Yes,No,?,No,No,No,No,No,No,Yes
25,No,Yes,Yes,No,New,Yes,?,No,No,Yes,No,Yes
26,No,Yes,Yes,Yes,Old,Yes,?,No,No,No,No,Yes
27,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
28,No,Yes,Yes,Yes,Old,Yes,No,No,No,No,No,Yes
29,No,Yes,Yes,Yes,Old,Yes,?,No,No,No,No,Yes
30,No,Yes,Yes,No,New,Yes,?,No,Yes,Yes,No,Yes
31,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
32,No,Yes,Yes,Yes,Old,Yes,No,No,Yes,No,No,Yes
33,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
34,No,Yes,Yes,Yes,Old,No,No,No,No,No,No,Yes
35,No,Yes,Yes,No,New,Yes,No,No,No,No,No,Yes
36,No,Yes,Yes,Yes,New,Yes,No,No,Yes,No,No,Yes
37,No,Yes,Yes,No,?,Yes,?,Yes,Yes,No,Yes,Yes
