No,Source,Title,Authors,Venue,Year,DOI,ValidityThreatened
41,IJCAI,Supervised deep features for software functional clone detection by exploiting lexical and syntactical information in source code,"Hui-Hui Wei, Ming Li",Proceedings of the Twenty-Sixth International Joint Conference on Artificial Intelligence,2017,10.24963/ijcai.2017/423,1
42,arXiv,CodeXGLUE: A Machine Learning Benchmark Dataset for Code,"Shuai Lu, Daya Guo, Shuo Ren, Junjie Huang, Alexey Svyatkovskiy, Ambrosio Blanco, Colin Clement, Dawn Drain, Daxin Jiang, Duyu Tang, Ge Li, Lidong Zhou, Linjun Shou, Long Zhou, Michele Tufano, Ming Gong, Ming Zhou, Nan Duan, Neel Sundaresan, Shao Kun Deng, Shengyu Fu, Shujie Liu",,2021,arXiv:2102.04664,1
43,ACM,Oreo: detection of clones in the twilight zone,"Saini, Vaibhav and Farmahinifarahani, Farima and Lu, Yadong and Baldi, Pierre and Lopes, Cristina V.",Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2018,10.1145/3236024.3236026,1
44,ACM,DeepSim: deep learning code functional similarity,"Zhao, Gang and Huang, Jeff",Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2018,10.1145/3236024.3236068,1
45,ACM,Capturing source code semantics via tree-based convolution over API-enhanced AST,"Chen, Long and Ye, Wei and Zhang, Shikun",Proceedings of the 16th ACM International Conference on Computing Frontiers,2019,10.1145/3310273.3321560,1
46,ACM,What You See is What it Means! Semantic Representation Learning of Code based on Visualization and Transfer Learning,"Keller, Patrick and Kabor\'{e}, Abdoul Kader and Plein, Laura and Klein, Jacques and Le Traon, Yves and Bissyand\'{e}, Tegawend\'{e} F.",ACM Transactions on Software Engineering and Methodology (TOSEM),2021,10.1145/3485135,1
47,ACM,Cross-language code search using static and dynamic analyses,"Mathew, George and Stolee, Kathryn T.",Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2021,10.1145/3468264.3468538,1
48,ACM,CCGraph: a PDG-based code clone detector with approximate graph matching,"Zou, Yue and Ban, Bihuan and Xue, Yinxing and Xu, Yun",Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering,2021,10.1145/3324884.3416541,1
49,ACM,Self-Supervised Contrastive Learning for Code Retrieval and Summarization via Semantic-Preserving Transformations,"Bui, Nghi D. Q. and Yu, Yijun and Jiang, Lingxiao",Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval,2021,10.1145/3404835.3462840,1
50,ACM,Assessing and Improving an Evaluation Dataset for Detecting Semantic Code Clones via Deep Learning,"Yu, Hao and Hu, Xing and Li, Ge and Li, Ying and Wang, Qianxiang and Xie, Tao",ACM Transactions on Software Engineering and Methodology (TOSEM),2022,10.1145/3502852,1
